route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307632,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307633,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307634,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307635,"South to I-485/S. Blvd",1,928102,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307636,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307637,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307638,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307639,"South to I-485/S. Blvd",1,928105,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307640,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307641,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307642,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307643,"South to I-485/S. Blvd",1,928102,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307644,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307645,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307646,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307647,"South to I-485/S. Blvd",1,928105,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307648,"South to I-485/S. Blvd",1,928103,5010107
